@ Codigo CNO-11: 1111,"MIEMBROS DEL PODER EJECUTIVO (NACIONAL, AUTONOMICO Y LOCAL) Y DEL PODER LEGISLATIVO",,,,,,,,,
"GPR:
F; G; J; L","SECTOR DE ACTIVIDAD (CNAE):
?  84: Administracion Publica y defensa; Seguridad Social obligatoria",,,,,,,,,
"OCUPACIONES INCLUIDAS:
-  Presidentes del Gobierno
-  Ministros del gobierno
-  Diputados al Parlamento
-  Secretarios de Estado
-  Senadores
-  Miembros de los organos de gobierno de las CC.AA.
-  Miembros de  asambleas legislativas de las CC.AA.
-  Concejales
-  Alcaldes
-  Presidentes de Diputacion provincial, Diputacion Foral del Pais Vasco, Cabildo insular o Consejo insular
-  Diputados de Diputacion provincial, Diputacion Foral del Pais Vasco, Cabildo insular o Consejo insular
-  Miembros del Consejo General del Poder Judicial",,"OCUPACIONES AFINES NO INCLUIDAS:
- No constan",,,,,,,,
"REFERENCIAS:
Cualificacion profesional (CNCP):  no existe
Permisos administrativos: no requiere certificacion especifica",,,,,,,,,,
"COMPETENCIAS Y TAREAS:
Los miembros del poder ejecutivo (nacional, autonomico y local) y del poder legislativo definen, formulan y orientan la politica del gobierno nacional, regional, provincial o municipal, asi como de los organismos gubernamentales  internacionales,  y  elaboran,  ratifican,  modifican  o  derogan  leyes  y  reglamentos.  Se incluyen en ellos miembros electos y no electos de parlamentos, concejos y gobiernos.
Entre sus tareas se incluyen:
-  presidir  los  trabajos  de  los  cuerpos  legislativos  y  de  los  concejos  deliberantes  del  gobierno  y  de  las asambleas legislativas de la nacion, region, provincia o municipio, y participar en dichos trabajos;
-  definir, formular y orientar la politica del gobierno nacional, regional, provincial o municipal;
-  elaborar,   ratificar,   modificar   o   derogar   leyes   y   reglamentos   dentro   de   un   marco   legislativo   o constitucional;
-  integrar concejos deliberantes de la Administracion Publica o comisiones oficiales;
-  examinar  cuestiones  de  interes  para  el  publico  y  defender  los  intereses  del  electorado  al  que representan;
-  asistir a actos y reuniones para prestar servicios a la comunidad, captar la opinion publica y facilitar informacion sobre los planes de la Administracion Publica;
-  negociar con otros miembros del poder legislativo y representantes de grupos de interes social para conciliar intereses opuestos y establecer politicas y acuerdos;
-  dirigir,  en  su  calidad  de  miembros  del  gobierno,  a  los  administradores  y  a  los  funcionarios  de  los departamentos ministeriales y de los organos que de ellos dependen en cuanto a la interpretacion y aplicacion de la politica del gobierno.",,,,,,,,,,
"POSIBLES MENCIONES EN EL CUADRO DE ENFERMEDADES PROFESIONALES:
-  No se contemplan de manera especifica",,,,,,,,,,
Codigo CNO-11: 1111,"MIEMBROS DEL PODER EJECUTIVO (NACIONAL, AUTONOMICO Y LOCAL) Y DEL PODER LEGISLATIVO",,,,,,,,,
REQUERIMIENTOS,GRADO,,,,,REQUERIMIENTOS,GRADO,,,
,1,2,3,4,,,1,2,3,4
Carga fisica,X,,,,,Carga mental,,,,
Carga biomecanica,,,,,,Comunicacion,,,,X
Columna cervical,X,,,,,Atencion al publico,,X,,
Columna dorsolumbar,X,,,,,Toma de decisiones,,,,X
Hombro,X,,,,,Atencion/complejidad,,,,X
Codo,X,,,,,Apremio,,X,,
Mano,X,,,,,Dependencia,X,,,
Cadera,X,,,,,Vision,,,,
Rodilla,X,,,,,Agudeza visual,,,X,
Tobillo/pie,X,,,,,Campo visual,,X,,
Manejo de cargas,X,,,,,Audicion,,X,,
Trabajo de precision,X,,,,,Voz,,,X,
Sedestacion,,,X,,,Sensibilidad,,,,
Bipedestacion,,,,,,Superficial,X,,,
Estatica,X,,,,,Profunda,X,,,
Dinamica,X,,,,,,,,,
Marcha por terreno irregular,X,,,,,,,,,
POSIBLES RIESGOS Y CIRCUNSTANCIAS ESPECIFICAS,,,,,,,,,,
